tweet,clean_tweet,label
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,woman shouldnt complain clean hous man alway take trash,0
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,boy dat coldtyga dwn bad cuffin dat hoe 1st place,1
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,dawg ever fuck bitch start cri confus shit,1
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,look like tranni,1
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,shit hear might true might faker bitch told ya,1
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",shit blow meclaim faith somebodi still fuck hoe,1
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",sit hate anoth bitch got much shit go,1
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,caus im tire big bitch come us skinni girl,1
""" &amp; you might not get ya bitch back &amp; thats that """,might get ya bitch back,1
""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",hobbi includ fight mariam bitch,1
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keek bitch curv everyon lol walk convers like thi smh,1
""" Murda Gang bitch its Gang Land """,murda gang bitch gang land,1
""" So hoes that smoke are losers ? "" yea ... go on IG",hoe smoke loser yea go ig,1
""" bad bitches is the only thing that i like """,bad bitch onli thing like,1
""" bitch get up off me """,bitch get,1
""" bitch nigga miss me with it """,bitch nigga miss,1
""" bitch plz whatever """,bitch plz whatev,1
""" bitch who do you love """,bitch love,1
""" bitches get cut off everyday B """,bitch get cut everyday b,1
""" black bottle &amp; a bad bitch """,black bottl bad bitch,1
""" broke bitch cant tell me nothing """,broke bitch cant tell noth,1
""" cancel that bitch like Nino """,cancel bitch like nino,1
